code,country_code,name,time_zone,open,close,city_name,country_name
AEB,NLD,Euronext Amsterdam,europe/amsterdam,09:00,17:40,Amsterdam,Nederland
HEX,FIN,Helsinki Stock Exchange,europe/helsinki,10:00,18:30,Helsinki,Finland
LSE,GBR,London Stock Exchange,europe/london,08:00,16:30,London,UK
BM,ESP,Bolsa de Madrid,europe/madrid,09:00,17:30,Madrid,Spain
BVME,ITA,Borsa Italiana,europe/rome,09:00,17:35,Milano,Italy
SBF,FRA,Euronext Paris,europe/paris,09:00,17:30,Paris,France
TSE,CAN,Toronto Stock Exchange,america/toronto,09:30,16:00,Toronto,Canada
NYSE,USA,NYSE,america/new_york,09:30,16:00,New York,USA
NASDAQ,USA,NASDAQ,america/new_york,09:30,16:00,New York,USA
IBIS,DEU,Xetra,europe/berlin,08:00,20:00,Frankfurt,Germany
